epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.7231,0.83403,4.48504,1.05251,0.05146,0.25093,0.10828,0.09734,0.47568,3.07686,0.87825,6.003e-05,6.003e-05,6.003e-05
2,27.4094,0.70909,2.56237,1.02243,0.29449,0.54852,0.34483,0.32162,0.46358,3.8084,0.84985,0.000124639,0.000124639,0.000124639
3,31.1445,0.65212,1.86131,0.98142,0.45926,0.77374,0.66761,0.60455,0.46665,2.06473,0.84639,0.000187047,0.000187047,0.000187047
4,35.3587,0.6352,1.2679,0.93217,0.61256,0.69908,0.78628,0.7114,0.48208,1.57335,0.83139,0.000247254,0.000247254,0.000247254
5,38.8753,0.61841,1.1461,0.93186,0.82441,0.65322,0.76182,0.6501,0.63912,1.47629,0.94215,0.000305259,0.000305259,0.000305259
6,42.2578,0.63731,0.948,0.95263,0.79535,0.85813,0.91663,0.80568,0.54073,0.91385,0.87977,0.000361064,0.000361064,0.000361064
7,46.4833,0.62633,0.91613,0.94744,0.81121,0.81282,0.86796,0.79463,0.48469,0.78965,0.85502,0.000414667,0.000414667,0.000414667
8,50.1485,0.62024,0.80834,0.92293,0.88295,0.83609,0.87873,0.78278,0.50584,0.79364,0.86145,0.00046607,0.00046607,0.00046607
9,53.4599,0.61078,0.71108,0.92492,0.85441,0.77289,0.86597,0.78723,0.49671,0.9149,0.85623,0.000515271,0.000515271,0.000515271
10,56.888,0.61894,0.7043,0.9416,0.89685,0.81377,0.8868,0.79823,0.51466,0.78225,0.86864,0.000562271,0.000562271,0.000562271
11,60.9613,0.59355,0.6564,0.93202,0.90501,0.81961,0.87301,0.78035,0.53159,0.74702,0.86918,0.000556945,0.000556945,0.000556945
12,64.3282,0.62476,0.64681,0.93114,0.86084,0.86,0.91126,0.83278,0.48499,0.57972,0.85494,0.00054594,0.00054594,0.00054594
13,67.7344,0.65032,0.66283,0.94183,0.87868,0.90571,0.93119,0.83581,0.50614,0.55139,0.85146,0.000534934,0.000534934,0.000534934
14,71.8602,0.57439,0.58628,0.9174,0.93612,0.89945,0.92782,0.83805,0.47489,0.51334,0.84828,0.000523928,0.000523928,0.000523928
15,75.5447,0.57717,0.5304,0.9261,0.88008,0.86306,0.92474,0.84092,0.46884,0.62338,0.84505,0.000512923,0.000512923,0.000512923
16,78.9989,0.58009,0.54711,0.90045,0.8455,0.85924,0.89423,0.80276,0.48904,0.63737,0.87049,0.000501917,0.000501917,0.000501917
17,82.3217,0.5934,0.58007,0.91904,0.83099,0.85311,0.88111,0.78698,0.50878,0.6879,0.88413,0.000490912,0.000490912,0.000490912
18,86.4952,0.58286,0.52216,0.93171,0.9367,0.88812,0.93613,0.83713,0.50498,0.52094,0.87908,0.000479907,0.000479907,0.000479907
19,89.6889,0.6073,0.56215,0.92642,0.92334,0.88747,0.9251,0.83824,0.49205,0.51907,0.87491,0.000468901,0.000468901,0.000468901
20,93.1114,0.56092,0.49851,0.92571,0.88496,0.88155,0.91925,0.83723,0.51186,0.57911,0.87455,0.000457895,0.000457895,0.000457895
21,97.1141,0.55336,0.49224,0.89266,0.84716,0.81571,0.89624,0.8058,0.52168,0.66623,0.87859,0.00044689,0.00044689,0.00044689
